,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_estimators,error
173,0.1,1,3,0.2,0.6,1000,30.354334034200427
174,0.1,1,3,0.2,0.8,500,31.49793246201664
175,0.1,1,3,0.2,0.8,600,31.841635047064308
176,0.1,1,3,0.2,0.8,700,32.64214209040203
177,0.1,1,3,0.2,0.8,800,31.690982800241613
178,0.1,1,3,0.2,0.8,900,30.804157237108647
179,0.1,1,3,0.2,0.8,1000,30.81603028370994
180,0.1,1,3,0.5,0.4,500,26.041538906194656
181,0.1,1,3,0.5,0.4,600,25.725960037192728
182,0.1,1,3,0.5,0.4,700,24.377857086660423
183,0.1,1,3,0.5,0.4,800,23.983182713410805
184,0.1,1,3,0.5,0.4,900,23.047223886437763
185,0.1,1,3,0.5,0.4,1000,22.904427626221697
186,0.1,1,3,0.5,0.6,500,23.34140619861684
187,0.1,1,3,0.5,0.6,600,22.525401202570396
188,0.1,1,3,0.5,0.6,700,21.210415572983273
189,0.1,1,3,0.5,0.6,800,21.13868407861567
190,0.1,1,3,0.5,0.6,900,20.30962941757911
191,0.1,1,3,0.5,0.6,1000,19.96072554464012
192,0.1,1,3,0.5,0.8,500,22.176283253465648
193,0.1,1,3,0.5,0.8,600,21.465971243341226
194,0.1,1,3,0.5,0.8,700,20.334897567913107
195,0.1,1,3,0.5,0.8,800,20.43732631636593
196,0.1,1,3,0.5,0.8,900,19.764143070472453
197,0.1,1,3,0.5,0.8,1000,19.466362981859735
198,0.1,1,3,0.6,0.4,500,23.9080735299458
199,0.1,1,3,0.6,0.4,600,23.374693294195914
200,0.1,1,3,0.6,0.4,700,21.926504466501576
201,0.1,1,3,0.6,0.4,800,21.793147630805425
202,0.1,1,3,0.6,0.4,900,20.749075820692497
203,0.1,1,3,0.6,0.4,1000,20.288896587413188
204,0.1,1,3,0.6,0.6,500,20.878352868741434
205,0.1,1,3,0.6,0.6,600,20.22102769007136
206,0.1,1,3,0.6,0.6,700,19.48128816157397
207,0.1,1,3,0.6,0.6,800,19.53784084750737
208,0.1,1,3,0.6,0.6,900,19.17991779869912
209,0.1,1,3,0.6,0.6,1000,18.79908666061712
210,0.1,1,3,0.6,0.8,500,20.36157489508851
211,0.1,1,3,0.6,0.8,600,19.692438267395033
212,0.1,1,3,0.6,0.8,700,19.225929656379197
213,0.1,1,3,0.6,0.8,800,19.291743314706945
214,0.1,1,3,0.6,0.8,900,18.899077200321802
215,0.1,1,3,0.6,0.8,1000,18.76336787702505
216,0.1,2,1,0.1,0.4,500,16.39973880835662
217,0.1,2,1,0.1,0.4,600,15.379780212452966
218,0.1,2,1,0.1,0.4,700,15.417207280573116
219,0.1,2,1,0.1,0.4,800,15.156025730500087
220,0.1,2,1,0.1,0.4,900,14.575488672189227
221,0.1,2,1,0.1,0.4,1000,15.002374621433221
222,0.1,2,1,0.1,0.6,500,14.807705821805744
223,0.1,2,1,0.1,0.6,600,14.039931709925346
224,0.1,2,1,0.1,0.6,700,14.094069756293186
225,0.1,2,1,0.1,0.6,800,13.972549430615603
226,0.1,2,1,0.1,0.6,900,13.505113033490664
227,0.1,2,1,0.1,0.6,1000,13.485142433575161
228,0.1,2,1,0.1,0.8,500,14.153053468815996
229,0.1,2,1,0.1,0.8,600,13.499247090789327
230,0.1,2,1,0.1,0.8,700,13.396006623939956
231,0.1,2,1,0.1,0.8,800,12.944439575310978
232,0.1,2,1,0.1,0.8,900,12.59946678572187
233,0.1,2,1,0.1,0.8,1000,12.575512102846169
234,0.1,2,1,0.2,0.4,500,15.967816524560353
235,0.1,2,1,0.2,0.4,600,15.53167506911627
236,0.1,2,1,0.2,0.4,700,15.537394916076066
237,0.1,2,1,0.2,0.4,800,15.429113694093491
238,0.1,2,1,0.2,0.4,900,15.044000326298868
239,0.1,2,1,0.2,0.4,1000,15.215318584503544
240,0.1,2,1,0.2,0.6,500,14.460796897719135
241,0.1,2,1,0.2,0.6,600,13.189045969615986
242,0.1,2,1,0.2,0.6,700,12.986348493930414
243,0.1,2,1,0.2,0.6,800,12.701967653180853
244,0.1,2,1,0.2,0.6,900,12.612763424290495
245,0.1,2,1,0.2,0.6,1000,12.420833569847911
246,0.1,2,1,0.2,0.8,500,12.479826405295356
247,0.1,2,1,0.2,0.8,600,11.650007101641444
248,0.1,2,1,0.2,0.8,700,11.857555201357687
249,0.1,2,1,0.2,0.8,800,11.606780593157259
250,0.1,2,1,0.2,0.8,900,11.562933641839383
251,0.1,2,1,0.2,0.8,1000,11.559318170648346
252,0.1,2,1,0.5,0.4,500,15.234274348975294
253,0.1,2,1,0.5,0.4,600,14.644886572301195
254,0.1,2,1,0.5,0.4,700,14.67800545825874
255,0.1,2,1,0.5,0.4,800,14.72475727185619
256,0.1,2,1,0.5,0.4,900,15.002393304505732
257,0.1,2,1,0.5,0.4,1000,15.048106922654757
258,0.1,2,1,0.5,0.6,500,12.067516509402974
259,0.1,2,1,0.5,0.6,600,11.814053219876836
260,0.1,2,1,0.5,0.6,700,11.727387686714092
261,0.1,2,1,0.5,0.6,800,11.60502179744421
262,0.1,2,1,0.5,0.6,900,11.700223074253541
263,0.1,2,1,0.5,0.6,1000,11.72558592018015
264,0.1,2,1,0.5,0.8,500,11.12016976444901
265,0.1,2,1,0.5,0.8,600,11.067364870390765
266,0.1,2,1,0.5,0.8,700,11.210633223075034
267,0.1,2,1,0.5,0.8,800,11.360275744701566
268,0.1,2,1,0.5,0.8,900,11.624736824871462
269,0.1,2,1,0.5,0.8,1000,11.694480245640639
270,0.1,2,1,0.6,0.4,500,15.266944814852812
271,0.1,2,1,0.6,0.4,600,14.86404147959854
272,0.1,2,1,0.6,0.4,700,14.581319265778887
273,0.1,2,1,0.6,0.4,800,14.767349664109938
274,0.1,2,1,0.6,0.4,900,14.985650083419783
275,0.1,2,1,0.6,0.4,1000,14.96051710202698
276,0.1,2,1,0.6,0.6,500,12.064457273572929
277,0.1,2,1,0.6,0.6,600,11.85533990510978
278,0.1,2,1,0.6,0.6,700,11.80870980807624
279,0.1,2,1,0.6,0.6,800,11.8260241497074
280,0.1,2,1,0.6,0.6,900,11.991073788837907
281,0.1,2,1,0.6,0.6,1000,11.966583205359177
282,0.1,2,1,0.6,0.8,500,11.1967506222273
283,0.1,2,1,0.6,0.8,600,11.290460807466808
284,0.1,2,1,0.6,0.8,700,11.385857057642687
285,0.1,2,1,0.6,0.8,800,11.423813394319133
286,0.1,2,1,0.6,0.8,900,11.675365022822666
287,0.1,2,1,0.6,0.8,1000,11.747998809464816
288,0.1,2,2,0.1,0.4,500,29.893016848196858
289,0.1,2,2,0.1,0.4,600,28.568237515233104
