,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_estimators,error
47,0.1,1,1,0.1,0.5,300,1209.4075306930545
48,0.1,1,1,0.1,0.5,400,2166.8368643737795
49,0.1,1,1,0.1,0.5,500,4607.205199143983
50,0.1,1,1,0.1,0.5,600,5988.265159509277
51,0.1,1,1,0.1,0.5,700,6431.297149560546
52,0.1,1,1,0.1,0.5,800,7211.296676538085
53,0.1,1,1,0.1,0.5,900,7453.214111230468
54,0.1,1,1,0.1,0.5,1000,7464.857528588866
55,0.1,1,1,0.1,0.6,50,8774.93431373291
56,0.1,1,1,0.1,0.6,100,7707.923171002197
57,0.1,1,1,0.1,0.6,200,2359.0440568511963
58,0.1,1,1,0.1,0.6,300,1209.4075306930545
59,0.1,1,1,0.1,0.6,400,2166.8368643737795
60,0.1,1,1,0.1,0.6,500,4607.205199143983
61,0.1,1,1,0.1,0.6,600,5988.265159509277
62,0.1,1,1,0.1,0.6,700,6431.297149560546
63,0.1,1,1,0.1,0.6,800,7211.296676538085
64,0.1,1,1,0.1,0.6,900,7453.214111230468
65,0.1,1,1,0.1,0.6,1000,7464.857528588866
66,0.1,1,1,0.1,0.7,50,8774.93431373291
67,0.1,1,1,0.1,0.7,100,7707.923171002197
68,0.1,1,1,0.1,0.7,200,2359.0440568511963
69,0.1,1,1,0.1,0.7,300,1209.4075306930545
70,0.1,1,1,0.1,0.7,400,2166.8368643737795
71,0.1,1,1,0.1,0.7,500,4607.205199143983
72,0.1,1,1,0.1,0.7,600,5988.265159509277
73,0.1,1,1,0.1,0.7,700,6431.297149560546
74,0.1,1,1,0.1,0.7,800,7211.296676538085
75,0.1,1,1,0.1,0.7,900,7453.214111230468
76,0.1,1,1,0.1,0.7,1000,7464.857528588866
77,0.1,1,1,0.2,0.1,50,7403.304204899597
78,0.1,1,1,0.2,0.1,100,4751.127436596679
79,0.1,1,1,0.2,0.1,200,2155.7911716796875
80,0.1,1,1,0.2,0.1,300,4934.91137685547
81,0.1,1,1,0.2,0.1,400,7184.361015222167
82,0.1,1,1,0.2,0.1,500,6848.297527215575
83,0.1,1,1,0.2,0.1,600,7918.99501027832
