,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_estimators,error
72,0.1,1,2,0.5,0.8,700,19.22641601891904
1115,0.3,4,1,0.6,0.6,500,19.22888650412313
1102,0.3,4,1,0.5,0.6,700,19.231949076869505
563,0.2,2,1,0.5,0.6,900,19.233999357938114
1149,0.3,4,2,0.5,0.6,1000,19.24022805782779
85,0.1,1,2,0.6,0.8,500,19.245459913595074
1146,0.3,4,2,0.5,0.6,600,19.246946004827702
743,0.2,4,2,0.5,0.6,900,19.247618439897714
871,0.3,1,2,0.5,0.4,600,19.24860009428981
335,0.1,4,2,0.5,0.6,500,19.249058338608396
28,0.1,1,1,0.5,0.8,900,19.2511840876368
217,0.1,2,2,0.6,0.6,700,19.252172735324205
1103,0.3,4,1,0.5,0.6,900,19.26415206173877
1100,0.3,4,1,0.5,0.6,500,19.266103582252413
83,0.1,1,2,0.6,0.6,900,19.272579035941153
607,0.2,2,2,0.5,0.6,700,19.273698868120473
695,0.2,4,1,0.5,0.6,500,19.275056328305826
713,0.2,4,1,0.6,0.6,900,19.275254820805724
564,0.2,2,1,0.5,0.6,1000,19.278852144931882
756,0.2,4,2,0.6,0.6,600,19.306559854799996
757,0.2,4,2,0.6,0.6,700,19.318540355568434
273,0.1,4,1,0.1,0.4,900,19.31859966513808
138,0.1,2,1,0.1,0.4,900,19.31859966513808
337,0.1,4,2,0.5,0.6,700,19.323227842811004
473,0.2,1,2,0.5,0.6,900,19.323265163256604
561,0.2,2,1,0.5,0.6,600,19.324086944472647
714,0.2,4,1,0.6,0.6,1000,19.324945322635607
61,0.1,1,2,0.5,0.4,600,19.325046791389887
549,0.2,2,1,0.1,0.6,1000,19.33256700402215
1104,0.3,4,1,0.5,0.6,1000,19.34334614885116
1013,0.3,2,2,0.5,0.6,900,19.346520732099478
155,0.1,2,1,0.5,0.6,500,19.347579944728047
475,0.2,1,2,0.5,0.8,500,19.353489236122858
712,0.2,4,1,0.6,0.6,700,19.36259636402208
352,0.1,4,2,0.6,0.6,700,19.363020660971497
877,0.3,1,2,0.5,0.6,700,19.36695592399917
759,0.2,4,2,0.6,0.6,1000,19.375199809090102
435,0.2,1,1,0.6,0.4,500,19.376237762962116
830,0.3,1,1,0.5,0.6,500,19.376362462103824
969,0.3,2,1,0.5,0.6,1000,19.379699270112237
74,0.1,1,2,0.5,0.8,1000,19.38056436221134
1145,0.3,4,2,0.5,0.6,500,19.382200200027366
62,0.1,1,2,0.5,0.4,700,19.384482626835073
741,0.2,4,2,0.5,0.6,600,19.391378325326997
157,0.1,2,1,0.5,0.6,700,19.394155947703215
38,0.1,1,1,0.6,0.6,900,19.397954807106352
968,0.3,2,1,0.5,0.6,900,19.398089270951345
68,0.1,1,2,0.5,0.6,900,19.400149810037608
711,0.2,4,1,0.6,0.6,600,19.404303462805718
1012,0.3,2,2,0.5,0.6,700,19.406904857691373
433,0.2,1,1,0.5,0.8,900,19.40889650071135
967,0.3,2,1,0.5,0.6,700,19.409294761845576
354,0.1,4,2,0.6,0.6,1000,19.41766458473409
562,0.2,2,1,0.5,0.6,700,19.426837463971754
139,0.1,2,1,0.1,0.4,1000,19.42942373673452
274,0.1,4,1,0.1,0.4,1000,19.42942373673452
332,0.1,4,2,0.5,0.4,700,19.4333684204944
197,0.1,2,2,0.5,0.4,700,19.4333684204944
742,0.2,4,2,0.5,0.6,700,19.433933866549843
339,0.1,4,2,0.5,0.6,1000,19.44569273532144
689,0.2,4,1,0.1,0.8,1000,19.44619152629487
684,0.2,4,1,0.1,0.6,1000,19.44793644340028
891,0.3,1,2,0.6,0.6,600,19.448740879487943
470,0.2,1,2,0.5,0.6,500,19.45301577745367
472,0.2,1,2,0.5,0.6,700,19.455989345621195
1110,0.3,4,1,0.6,0.4,500,19.465754729521688
975,0.3,2,1,0.6,0.4,500,19.465754729521688
710,0.2,4,1,0.6,0.6,500,19.466658665301978
966,0.3,2,1,0.5,0.6,600,19.473725881626386
488,0.2,1,2,0.6,0.6,900,19.47473402369344
1141,0.3,4,2,0.5,0.4,600,19.477506520863134
1006,0.3,2,2,0.5,0.4,600,19.477506520863134
70,0.1,1,2,0.5,0.8,500,19.479729574577664
948,0.3,2,1,0.1,0.4,900,19.47980614791076
1083,0.3,4,1,0.1,0.4,900,19.47980614791076
1092,0.3,4,1,0.1,0.8,700,19.483310137425764
825,0.3,1,1,0.5,0.4,500,19.491129895559858
204,0.1,2,2,0.5,0.6,1000,19.49257941401623
78,0.1,1,2,0.6,0.4,900,19.495119950564707
31,0.1,1,1,0.6,0.4,600,19.496929706130764
440,0.2,1,1,0.6,0.6,500,19.498834552235316
876,0.3,1,2,0.5,0.6,600,19.500309218593422
878,0.3,1,2,0.5,0.6,900,19.500521135251223
3,0.1,1,1,0.1,0.4,900,19.503027569236256
445,0.2,1,1,0.6,0.8,500,19.50390547799727
408,0.2,1,1,0.1,0.4,900,19.504392726900065
466,0.2,1,2,0.5,0.4,600,19.508414826464314
60,0.1,1,2,0.5,0.4,500,19.5088866625054
219,0.1,2,2,0.6,0.6,1000,19.510854278924572
841,0.3,1,1,0.6,0.4,600,19.511865585758137
850,0.3,1,1,0.6,0.8,500,19.51426673810293
885,0.3,1,2,0.6,0.4,500,19.5176273969175
609,0.2,2,2,0.5,0.6,1000,19.520381976060605
483,0.2,1,2,0.6,0.4,900,19.522120358006077
8,0.1,1,1,0.1,0.6,900,19.52412537236388
86,0.1,1,2,0.6,0.8,600,19.525332369550135
16,0.1,1,1,0.5,0.4,600,19.525668447356434
624,0.2,2,2,0.6,0.6,1000,19.527932502630463
890,0.3,1,2,0.6,0.6,500,19.52820588225489
543,0.2,2,1,0.1,0.4,900,19.53257622597574
678,0.2,4,1,0.1,0.4,900,19.53257622597574
195,0.1,2,2,0.5,0.4,500,19.53335223488989
330,0.1,4,2,0.5,0.4,500,19.53335223488989
63,0.1,1,2,0.5,0.4,900,19.533533351330274
196,0.1,2,2,0.5,0.4,600,19.534491489206214
331,0.1,4,2,0.5,0.4,600,19.534491489206214
348,0.1,4,2,0.6,0.4,900,19.534679951531746
213,0.1,2,2,0.6,0.4,900,19.534679951531746
67,0.1,1,2,0.5,0.6,700,19.539091539405963
744,0.2,4,2,0.5,0.6,1000,19.53952680531362
602,0.2,2,2,0.5,0.4,700,19.54406725192607
737,0.2,4,2,0.5,0.4,700,19.54406725192607
420,0.2,1,1,0.5,0.4,500,19.548279651691942
965,0.3,2,1,0.5,0.6,500,19.54932493114757
425,0.2,1,1,0.5,0.6,500,19.551087765597945
740,0.2,4,2,0.5,0.6,500,19.55232249583859
1087,0.3,4,1,0.1,0.6,700,19.559326885785488
486,0.2,1,2,0.6,0.6,600,19.56019565234394
89,0.1,1,2,0.6,0.8,1000,19.560869837525786
1014,0.3,2,2,0.5,0.6,1000,19.564299856204016
471,0.2,1,2,0.5,0.6,600,19.564355444565457
15,0.1,1,1,0.5,0.4,500,19.574135057962057
30,0.1,1,1,0.6,0.4,500,19.57491944802072
64,0.1,1,2,0.5,0.4,1000,19.578048412119355
284,0.1,4,1,0.1,0.8,1000,19.58001376933425
1021,0.3,2,2,0.6,0.4,600,19.580367077946935
1156,0.3,4,2,0.6,0.4,600,19.580367077946935
485,0.2,1,2,0.6,0.6,500,19.58099080123227
75,0.1,1,2,0.6,0.4,500,19.586141292456322
76,0.1,1,2,0.6,0.4,600,19.593671875895364
736,0.2,4,2,0.5,0.4,600,19.595171830875763
601,0.2,2,2,0.5,0.4,600,19.595171830875763
838,0.3,1,1,0.5,0.8,900,19.6014016920384
87,0.1,1,2,0.6,0.8,700,19.603529613305508
477,0.2,1,2,0.5,0.8,700,19.610937597907984
886,0.3,1,2,0.6,0.4,600,19.61192863225586
874,0.3,1,2,0.5,0.4,1000,19.621007504355134
69,0.1,1,2,0.5,0.6,1000,19.621408586109784
467,0.2,1,2,0.5,0.4,700,19.622344351977244
1095,0.3,4,1,0.5,0.4,500,19.624164953750554
960,0.3,2,1,0.5,0.4,500,19.624164953750554
753,0.2,4,2,0.6,0.4,900,19.624212579813012
618,0.2,2,2,0.6,0.4,900,19.624212579813012
33,0.1,1,1,0.6,0.4,900,19.62446391792205
66,0.1,1,2,0.5,0.6,600,19.629667798345007
81,0.1,1,2,0.6,0.6,600,19.629985480246884
487,0.2,1,2,0.6,0.6,700,19.630749152123713
18,0.1,1,1,0.5,0.4,900,19.633026639330144
896,0.3,1,2,0.6,0.8,600,19.63354351847428
560,0.2,2,1,0.5,0.6,500,19.634166309690514
887,0.3,1,2,0.6,0.4,700,19.63477974545425
469,0.2,1,2,0.5,0.4,1000,19.639759851490968
888,0.3,1,2,0.6,0.4,900,19.64315290981556
40,0.1,1,1,0.6,0.8,500,19.645326395210592
705,0.2,4,1,0.6,0.4,500,19.651431972751002
570,0.2,2,1,0.6,0.4,500,19.651431972751002
443,0.2,1,1,0.6,0.6,900,19.663170375490598
892,0.3,1,2,0.6,0.6,700,19.669032042216543
1007,0.3,2,2,0.5,0.4,700,19.67392214794701
1142,0.3,4,2,0.5,0.4,700,19.67392214794701
436,0.2,1,1,0.6,0.4,600,19.67727602754201
872,0.3,1,2,0.5,0.4,700,19.677607364632543
333,0.1,4,2,0.5,0.4,900,19.68234273918846
198,0.1,2,2,0.5,0.4,900,19.68234273918846
80,0.1,1,2,0.6,0.6,500,19.68482773420431
77,0.1,1,2,0.6,0.4,700,19.686285269592066
82,0.1,1,2,0.6,0.6,700,19.68674539592304
1155,0.3,4,2,0.6,0.4,500,19.68886445172032
1020,0.3,2,2,0.6,0.4,500,19.68886445172032
199,0.1,2,2,0.5,0.4,1000,19.693752456008518
334,0.1,4,2,0.5,0.4,1000,19.693752456008518
481,0.2,1,2,0.6,0.4,600,19.69389862089435
482,0.2,1,2,0.6,0.4,700,19.696308681336816
149,0.1,2,1,0.1,0.8,1000,19.697568695748313
751,0.2,4,2,0.6,0.4,600,19.708907784191993
616,0.2,2,2,0.6,0.4,600,19.708907784191993
71,0.1,1,2,0.5,0.8,600,19.719116864214588
212,0.1,2,2,0.6,0.4,700,19.722344168766945
347,0.1,4,2,0.6,0.4,700,19.722344168766945
345,0.1,4,2,0.6,0.4,500,19.722592124201487
210,0.1,2,2,0.6,0.4,500,19.722592124201487
413,0.2,1,1,0.1,0.6,900,19.72305973079904
835,0.3,1,1,0.5,0.8,500,19.723253736243095
4,0.1,1,1,0.1,0.4,1000,19.72570693892037
813,0.3,1,1,0.1,0.4,900,19.731556812412794
480,0.2,1,2,0.6,0.4,500,19.73242689347963
168,0.1,2,1,0.6,0.4,900,19.736562044359502
303,0.1,4,1,0.6,0.4,900,19.736562044359502
438,0.2,1,1,0.6,0.4,900,19.738438155057377
1158,0.3,4,2,0.6,0.4,900,19.738746880386742
1023,0.3,2,2,0.6,0.4,900,19.738746880386742
346,0.1,4,2,0.6,0.4,600,19.739487916502522
211,0.1,2,2,0.6,0.4,600,19.739487916502522
25,0.1,1,1,0.5,0.8,500,19.742448304070706
